modelo,accuracy_calidad,f1_macro_calidad,accuracy_tamaño,f1_macro_tamaño,f1_macro_promedio,tiempo_entrenamiento_seg
XGBoost,0.9741151611199155,0.9705937033071349,0.9640781827786582,0.9525396676654241,0.9615666854862794,64.1396598815918
Random Forest,0.9790456066208839,0.9762528112213363,0.9540412044374009,0.9419929772424939,0.9591228942319151,6.682685613632202
SVM lineal,0.8772671244937489,0.866819028247472,0.9732347244233139,0.9604870583079865,0.9136530432777292,528.30419921875
